Organisation Name,Meeting Date,Sequence Identifier,Proposal Text,Recommendation
Wizz Air Holdings Plc,02/08/2023,20,Elect Anna Gatti,For
Wizz Air Holdings Plc,02/08/2023,21,Elect Anna Gatti (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,22,Elect CHONG Phit Lian,For
Wizz Air Holdings Plc,02/08/2023,23,Elect CHONG Phit Lian (Independent Shareholders Only),For
Wizz Air Holdings Plc,02/08/2023,24,Appointment of Auditor,For
Wizz Air Holdings Plc,02/08/2023,25,Authority to Set Auditor's Fees,For
Wizz Air Holdings Plc,02/08/2023,26,Authority to Issue Shares w/ Preemptive Rights,For
Wizz Air Holdings Plc,02/08/2023,27,Authority to Issue Shares w/o Preemptive Rights,For
Wizz Air Holdings Plc,02/08/2023,28,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Wizz Air Holdings Plc,02/08/2023,3,Remuneration Policy,For
Wizz Air Holdings Plc,02/08/2023,4,Amendment to Value Creation Plan,For
Wizz Air Holdings Plc,02/08/2023,5,Amendment to Omnibus Plan,For
Wizz Air Holdings Plc,02/08/2023,6,Elect William A. Franke,For
Wizz Air Holdings Plc,02/08/2023,7,Elect J�zsef V�radi,For
Wizz Air Holdings Plc,02/08/2023,8,Elect Stephen Johnson,For
Wizz Air Holdings Plc,02/08/2023,9,Elect Barry Eccleston,For
Wizz Air Holdings Plc,02/08/2023,1,Approve Purchase of Aircraft (NEO Purchase Agreement),For
Enersys,03/08/2023,1.1,Elect Caroline Chan,For
Enersys,03/08/2023,1.2,Elect Steven M. Fludder,For
Enersys,03/08/2023,1.3,Elect Paul J. Tufano,For
Enersys,03/08/2023,1.4,Elect Rudolph Wynter,For
Enersys,03/08/2023,2.,Approval of the 2023 Equity Incentive Plan,For
Enersys,03/08/2023,3.,Ratification of Auditor,For
Enersys,03/08/2023,4.,Advisory Vote on Executive Compensation,For
Ralph Lauren Corp,03/08/2023,1.01,Elect Linda Findley,For
Ralph Lauren Corp,03/08/2023,1.02,Elect Michael A. George,For
Ralph Lauren Corp,03/08/2023,1.03,Elect Hubert Joly,For
Ralph Lauren Corp,03/08/2023,1.04,Elect Darren Walker,For
Ralph Lauren Corp,03/08/2023,2.,Ratification of Auditor,For
Ralph Lauren Corp,03/08/2023,3.,Advisory Vote on Executive Compensation,For
Investec plc,03/08/2023,1,Elect Henrietta Baldock,For
Investec plc,03/08/2023,10,Elect Brian Stevenson,For
Investec plc,03/08/2023,11,Elect Fani Titi,For
Investec plc,03/08/2023,12,Remuneration Report,For
Investec plc,03/08/2023,13,Remuneration Policy,For
Investec plc,03/08/2023,14,Authorisation of Legal Formalities,For
Investec plc,03/08/2023,16,Interim Dividend (Ordinary Shares - Investec Limited),For
Investec plc,03/08/2023,17,Interim Dividend (SA DAS Share - Investec Limited),For
Investec plc,03/08/2023,18,Final Dividend (Investec Limited),For
Investec plc,03/08/2023,19,Appointment of Joint Auditor (Ernst & Young - Investec Limited),For
Investec plc,03/08/2023,2,Elect Zarina B.M. Bassa,For
Investec plc,03/08/2023,20,Appointment of Joint Auditor (PricewaterhouseCoopers - Investec Limited),For
Investec plc,03/08/2023,21,Appointment of Auditor in a Shadow Capacity (Deloitte - Investec Limited),For
Investec plc,03/08/2023,22,Authority to Issue Preference Shares (Investec Limited),For
Investec plc,03/08/2023,23,Authority to Issue Convertible Preference Shares (Investec Limited),For
Investec plc,03/08/2023,24,Authority to Repurchase Ordinary Shares (Investec Limited),For
Investec plc,03/08/2023,25,Authority to Repurchase Preference Shares (Investec Limited),For
Investec plc,03/08/2023,26,Approve Financial Assistance (Investec Limited),For
Investec plc,03/08/2023,27,Approve NEDs' Fees (Investec Limited),For
Investec plc,03/08/2023,28,Accounts and Reports (Investec plc),For
Investec plc,03/08/2023,29,Interim Dividend (Investec plc),For
Investec plc,03/08/2023,3,Elect Philip A. Hourquebie,For
Investec plc,03/08/2023,30,Final Dividend (Investec plc),For
Investec plc,03/08/2023,31,Appointment of Auditor (Investec plc),For
Investec plc,03/08/2023,32,Appointment of Auditor in a Shadow Capacity (Deloitte - Investec plc),For
Investec plc,03/08/2023,33,Authority to Set Auditor's Fees (Investec plc),For
Investec plc,03/08/2023,34,Authorisation of Political Donations (Investec plc),For
Investec plc,03/08/2023,35,Authority to Issue Ordinary and Special Convertible Shares w/ Preemptive Rights (Investec plc),For
Investec plc,03/08/2023,36,Authority to Repurchase Shares (Ordinary Shares - Investec plc),For
Investec plc,03/08/2023,37,Authority to Repurchase Shares (Preference Shares - Investec plc),For
Investec plc,03/08/2023,4,Elect Stephen Koseff,For
Investec plc,03/08/2023,5,Elect Nicola Newton-King,For
Investec plc,03/08/2023,6,Elect Jasandra Nyker,For
Investec plc,03/08/2023,7,Elect Vanessa Olver,For
Investec plc,03/08/2023,8,Elect Nishlan A. Samujh,For
Investec plc,03/08/2023,9,Elect Philisiwe G. Sibiya,For
Telecom Plus plc,04/08/2023,1,Accounts and Reports,For
Telecom Plus plc,04/08/2023,10,Elect Nicholas Schoenfeld,For
Telecom Plus plc,04/08/2023,11,Elect Beatrice Hollond,For
Telecom Plus plc,04/08/2023,12,Elect Andrew Blowers,For
Telecom Plus plc,04/08/2023,13,Elect Suzi Williams,For
Telecom Plus plc,04/08/2023,14,Elect Carla Strent,For
Telecom Plus plc,04/08/2023,15,Appointment of Auditor,For
Telecom Plus plc,04/08/2023,16,Authority to Set Auditor's Fees,For
Telecom Plus plc,04/08/2023,17,Authority to Repurchase Shares,For
Telecom Plus plc,04/08/2023,18,Authority to Issue Shares w/ Preemptive Rights,For
Telecom Plus plc,04/08/2023,19,Authority to Issue Shares w/o Preemptive Rights,For
Telecom Plus plc,04/08/2023,2,Remuneration Report,For
Telecom Plus plc,04/08/2023,20,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),For
Telecom Plus plc,04/08/2023,21,Authorisation of Political Donations,For
Telecom Plus plc,04/08/2023,22,Authority to Set General Meeting Notice Period at 14 Days,For
Telecom Plus plc,04/08/2023,3,Remuneration Policy,For
Telecom Plus plc,04/08/2023,4,"Telecom Plus Incentive Plan (""""TIPIP"""")",For
Telecom Plus plc,04/08/2023,5,"Telecom Plus Omnibus Plan (""""TPOP"""")",For
Telecom Plus plc,04/08/2023,6,Final Dividend,For
Telecom Plus plc,04/08/2023,7,Elect Charles Wigoder,For
Telecom Plus plc,04/08/2023,8,Elect Andrew Lindsay,For
Telecom Plus plc,04/08/2023,9,Elect Stuart Burnett,For
"Electronic Arts, Inc.",10/08/2023,1a.,Elect Kofi A. Bruce,For
"Electronic Arts, Inc.",10/08/2023,1b.,Elect Rachel A. Gonzalez,For
"Electronic Arts, Inc.",10/08/2023,1c.,Elect Jeffrey T. Huber,For
"Electronic Arts, Inc.",10/08/2023,1d.,Elect Talbott Roche,For
"Electronic Arts, Inc.",10/08/2023,1e.,Elect Richard A. Simonson,For
"Electronic Arts, Inc.",10/08/2023,1f.,Elect Luis A. Ubi�as,For
"Electronic Arts, Inc.",10/08/2023,1g.,Elect Heidi J. Ueberroth,For
"Electronic Arts, Inc.",10/08/2023,1h.,Elect Andrew Wilson,For
"Electronic Arts, Inc.",10/08/2023,2.,Advisory Vote on Executive Compensation,For
"Electronic Arts, Inc.",10/08/2023,3.,Ratification of Auditor,For
Plus500 Ltd,10/08/2023,1,Authority to Repurchase Shares,For
"Electronic Arts, Inc.",10/08/2023,5.,Shareholder Proposal Regarding Severance Approval Policy,Against
Benson Hill Inc,11/08/2023,1a.,Elect Adrienne D. Elsner,For
Benson Hill Inc,11/08/2023,1b.,Elect DeAnn L. Brunts,For
Benson Hill Inc,11/08/2023,1c.,Elect J. Stephan Dolezalek,For
Benson Hill Inc,11/08/2023,1d.,Elect Daniel Jacobi,For
Benson Hill Inc,11/08/2023,1e.,Elect David Lee,For
Benson Hill Inc,11/08/2023,1f.,Elect Richard Mack,For
Benson Hill Inc,11/08/2023,1g.,Elect Molly Montgomery,For
Benson Hill Inc,11/08/2023,1h.,Elect Craig Rohr,For
Benson Hill Inc,11/08/2023,1i.,Elect Linda Whitley-Taylor,For
Benson Hill Inc,11/08/2023,2.,Ratification of Auditor,For
Jumia Technologies Ag,14/08/2023,10.,Authority to Repurchase and Reissue Shares,For
Jumia Technologies Ag,14/08/2023,2.,Ratification of Management Acts,For
Jumia Technologies Ag,14/08/2023,3.,Ratification of Supervisory Board Acts,For
Jumia Technologies Ag,14/08/2023,4.,Appointment of Auditor,For
Jumia Technologies Ag,14/08/2023,5.,Remuneration Report,For
Jumia Technologies Ag,14/08/2023,6.,Decrease Supervisory Board Size,For
Jumia Technologies Ag,14/08/2023,7.1,Elect Pierre-Yves Calloc'h,For
Jumia Technologies Ag,14/08/2023,7.2,Elect Anne Eriksson,For
Jumia Technologies Ag,14/08/2023,7.3,Elect Elizabeth J. Huebner,For
Jumia Technologies Ag,14/08/2023,7.4,Elect Blaise Judja-Sato,For
Jumia Technologies Ag,14/08/2023,7.5,Elect Jonathan D. Klein,For
Jumia Technologies Ag,14/08/2023,8.,Supervisory Board Remuneration Policy ,For
Jumia Technologies Ag,14/08/2023,9.,Renewal of Authorized Capital,For
